s2	122678	F
s3	124699	F
s4	130231	F
s1	132244	M
s6	145062	M
s1	146146	M
s2	146147	F
s3	146148	M
s1	147973	U
s2	147974	U
s3	147975	U
s4	147976	U
s5	147977	U
s7	149047	M
s8	149092	M
s9	149125	M
s10	149128	M
s11	149131	F
s12	149138	F
s13	149147	F
s14	149174	M
s15	149181	F
s16	149182	M
s17	149239	M
s18	149295	F
s19	149411	M
s20	149483	M
s21	149484	M
s22	149485	F
s23	149511	M
s24	149568	M
s25	149569	M
s26	149570	M
s27	149638	M
s28	149640	U
s29	149680	F
s30	149762	M
s31	149763	F
s32	149764	M
s33	149827	M
s34	149846	M
s35	149869	F
s36	149951	F
s2	151300	M
s3	151347	F
s4	151392	M
s5	151427	M
s6	151477	F
s7	151490	M
s8	151522	M
s2	151524	F
s9	151524	F
s10	151546	F
s11	151680	M
s12	151708	M
s13	151735	M
s14	151744	F
s15	151797	F
s16	151844	F
s17	151845	M
s18	151851	M
s19	151852	M
s20	151853	M
s21	151855	M
s22	151972	F
s23	151992	M
s24	152077	M
s25	152166	M
s26	152201	F
s27	152217	M
s28	152219	F
s29	152220	M
s30	152222	M
s31	152230	F
s32	152323	M
s33	152595	M
s34	152729	M
s35	152817	M
s36	152852	F
s1	152855	M
s3	152902	M
s4	152903	M
s5	152904	M
s6	152905	M
s7	152906	M
s8	152907	F
s9	152908	F
s10	153017	M
s11	153053	M
s12	153069	F
s13	153109	F
s14	153116	M
s15	153185	F
s16	153203	M
s17	153219	M
s18	153239	F
s19	153240	M
s20	153259	M
s21	153275	M
s22	153282	M
s23	153388	F
s24	153406	M
s5	154145	F
s6	154749	F
s7	154788	F
s8	154943	M
s24	154961	M
s9	154971	F
s10	155010	F
s11	155016	F
s12	155059	M
s13	155060	F
s14	155074	M
s15	155303	M
s16	155340	M
s17	155343	M
s18	155374	M
s19	155419	F
s20	155467	M
s21	155476	M
s4	155517	F
s22	155546	M
s23	155581	M
s25	155583	M
s26	155614	M
s27	155698	M
s28	155726	M
s29	155735	M
s30	155791	M
s31	155835	F
s32	155836	M
s33	155837	F
s34	155894	M
s35	155933	M
s5	156825	M
s6	157238	M
s7	157264	F
s8	157265	M
s9	157297	F
s10	157299	M
s11	157336	M
s12	157343	M
s13	157428	M
s14	157502	M
s15	157503	M
s16	157586	M
s17	157587	F
s18	157680	F
s19	157709	M
s20	157762	F
s21	157765	F
s22	157775	F
s23	157776	F
s24	157984	F
s25	157995	M
s26	158018	F
s27	158038	F
s28	158064	M
s29	158113	M
s30	158184	M
s31	158229	F
s32	158278	M
s33	158366	M
s34	158367	F
s35	158368	M
s36	158369	M
s1	99794	F
